service_limited,cpus_given,tracing,jaeger_e2e
user-mention-service,1.0,media-service,5.295
user-service,1.0,media-service,5.495
user-timeline-service,1.0,media-service,5.993
compose-post-service,0.1,nginx-web-server,13009.751
home-timeline-service,0.1,nginx-web-server,4.317
media-service,0.1,nginx-web-server,6.212
post-storage-service,0.1,nginx-web-server,4.507
social-graph-service,0.1,nginx-web-server,6.478
text-service,0.1,nginx-web-server,10001.593
unique-id-service,0.1,nginx-web-server,5.497
url-shorten-service,0.1,nginx-web-server,5.367
user-mention-service,0.1,nginx-web-server,6296.517
user-service,0.1,nginx-web-server,7.085
user-timeline-service,0.1,nginx-web-server,4.806
compose-post-service,0.2,nginx-web-server,13023.867
home-timeline-service,0.2,nginx-web-server,4.805
media-service,0.2,nginx-web-server,5.080
post-storage-service,0.2,nginx-web-server,4.857
social-graph-service,0.2,nginx-web-server,4.650
text-service,0.2,nginx-web-server,5.268
unique-id-service,0.2,nginx-web-server,5.244
url-shorten-service,0.2,nginx-web-server,5.594
user-mention-service,0.2,nginx-web-server,7.506
user-service,0.2,nginx-web-server,6.210
user-timeline-service,0.2,nginx-web-server,5.709
compose-post-service,0.3,nginx-web-server,101.739
home-timeline-service,0.3,nginx-web-server,5.208
media-service,0.3,nginx-web-server,4.811
post-storage-service,0.3,nginx-web-server,5.476
social-graph-service,0.3,nginx-web-server,6.451
text-service,0.3,nginx-web-server,5.762
unique-id-service,0.3,nginx-web-server,5.873
url-shorten-service,0.3,nginx-web-server,5.006
user-mention-service,0.3,nginx-web-server,5.175
user-service,0.3,nginx-web-server,7.858
user-timeline-service,0.3,nginx-web-server,6.750
compose-post-service,0.4,nginx-web-server,4.873
home-timeline-service,0.4,nginx-web-server,5.998
media-service,0.4,nginx-web-server,4.992
post-storage-service,0.4,nginx-web-server,4.705
social-graph-service,0.4,nginx-web-server,4.814
text-service,0.4,nginx-web-server,5.716
unique-id-service,0.4,nginx-web-server,6.650
url-shorten-service,0.4,nginx-web-server,6.342
user-mention-service,0.4,nginx-web-server,6.361
user-service,0.4,nginx-web-server,5.094
user-timeline-service,0.4,nginx-web-server,6.712
compose-post-service,0.5,nginx-web-server,5.022
home-timeline-service,0.5,nginx-web-server,5.041
media-service,0.5,nginx-web-server,5.681
post-storage-service,0.5,nginx-web-server,4.292
social-graph-service,0.5,nginx-web-server,4.427
text-service,0.5,nginx-web-server,5.630
unique-id-service,0.5,nginx-web-server,5.236
url-shorten-service,0.5,nginx-web-server,5.870
user-mention-service,0.5,nginx-web-server,6.561
user-service,0.5,nginx-web-server,5.101
user-timeline-service,0.5,nginx-web-server,4.901
compose-post-service,0.6,nginx-web-server,5.753
home-timeline-service,0.6,nginx-web-server,6.096
media-service,0.6,nginx-web-server,5.002
post-storage-service,0.6,nginx-web-server,5.934
social-graph-service,0.6,nginx-web-server,5.302
text-service,0.6,nginx-web-server,5.346
unique-id-service,0.6,nginx-web-server,6.883
url-shorten-service,0.6,nginx-web-server,6.300
user-mention-service,0.6,nginx-web-server,5.080
user-service,0.6,nginx-web-server,5.700
user-timeline-service,0.6,nginx-web-server,5.872
compose-post-service,0.7,nginx-web-server,3.890
home-timeline-service,0.7,nginx-web-server,5.752
media-service,0.7,nginx-web-server,5.986
post-storage-service,0.7,nginx-web-server,5.610
social-graph-service,0.7,nginx-web-server,4.996
text-service,0.7,nginx-web-server,6.506
unique-id-service,0.7,nginx-web-server,4.839
url-shorten-service,0.7,nginx-web-server,5.380
user-mention-service,0.7,nginx-web-server,4.991
user-service,0.7,nginx-web-server,6.259
user-timeline-service,0.7,nginx-web-server,4.957
compose-post-service,0.8,nginx-web-server,5.140
home-timeline-service,0.8,nginx-web-server,4.490
media-service,0.8,nginx-web-server,6.187
post-storage-service,0.8,nginx-web-server,4.522
social-graph-service,0.8,nginx-web-server,5.132
text-service,0.8,nginx-web-server,5.449
unique-id-service,0.8,nginx-web-server,5.794
url-shorten-service,0.8,nginx-web-server,5.517
user-mention-service,0.8,nginx-web-server,5.072
user-service,0.8,nginx-web-server,5.262
user-timeline-service,0.8,nginx-web-server,5.428
compose-post-service,0.9,nginx-web-server,5.159
home-timeline-service,0.9,nginx-web-server,4.669
media-service,0.9,nginx-web-server,4.494
post-storage-service,0.9,nginx-web-server,4.550
social-graph-service,0.9,nginx-web-server,5.707
text-service,0.9,nginx-web-server,4.727
unique-id-service,0.9,nginx-web-server,5.036
url-shorten-service,0.9,nginx-web-server,6.197
user-mention-service,0.9,nginx-web-server,5.544
user-service,0.9,nginx-web-server,6.450
user-timeline-service,0.9,nginx-web-server,5.792
compose-post-service,1.0,nginx-web-server,5.161
home-timeline-service,1.0,nginx-web-server,5.050
media-service,1.0,nginx-web-server,5.366
post-storage-service,1.0,nginx-web-server,4.559
social-graph-service,1.0,nginx-web-server,5.099
text-service,1.0,nginx-web-server,5.478
unique-id-service,1.0,nginx-web-server,5.468
url-shorten-service,1.0,nginx-web-server,4.746
user-mention-service,1.0,nginx-web-server,5.867
user-service,1.0,nginx-web-server,4.909
user-timeline-service,1.0,nginx-web-server,4.468
compose-post-service,0.1,post-storage-service,61184.613
home-timeline-service,0.1,post-storage-service,4.965
media-service,0.1,post-storage-service,5.569
post-storage-service,0.1,post-storage-service,4.625
social-graph-service,0.1,post-storage-service,6.239
text-service,0.1,post-storage-service,16600.082
unique-id-service,0.1,post-storage-service,5.450
url-shorten-service,0.1,post-storage-service,5.746
user-mention-service,0.1,post-storage-service,14800.688
user-service,0.1,post-storage-service,5.293
user-timeline-service,0.1,post-storage-service,5.548
compose-post-service,0.2,post-storage-service,57294.384
home-timeline-service,0.2,post-storage-service,4.763
media-service,0.2,post-storage-service,4.301
post-storage-service,0.2,post-storage-service,4.997
social-graph-service,0.2,post-storage-service,5.857
text-service,0.2,post-storage-service,5.364
unique-id-service,0.2,post-storage-service,6.904
url-shorten-service,0.2,post-storage-service,4.713
user-mention-service,0.2,post-storage-service,9.341
user-service,0.2,post-storage-service,5.381
user-timeline-service,0.2,post-storage-service,6.600
compose-post-service,0.3,post-storage-service,197.894
home-timeline-service,0.3,post-storage-service,4.863
media-service,0.3,post-storage-service,5.137
post-storage-service,0.3,post-storage-service,6.195
social-graph-service,0.3,post-storage-service,9.130
text-service,0.3,post-storage-service,5.221
unique-id-service,0.3,post-storage-service,5.970
url-shorten-service,0.3,post-storage-service,6.758
user-mention-service,0.3,post-storage-service,5.360
user-service,0.3,post-storage-service,4.807
user-timeline-service,0.3,post-storage-service,5.641
compose-post-service,0.4,post-storage-service,5.735
home-timeline-service,0.4,post-storage-service,4.455
media-service,0.4,post-storage-service,4.842
post-storage-service,0.4,post-storage-service,5.730
social-graph-service,0.4,post-storage-service,6.112
text-service,0.4,post-storage-service,4.995
unique-id-service,0.4,post-storage-service,4.769
url-shorten-service,0.4,post-storage-service,5.897
user-mention-service,0.4,post-storage-service,5.914
user-service,0.4,post-storage-service,5.628
user-timeline-service,0.4,post-storage-service,5.107
compose-post-service,0.5,post-storage-service,4.741
home-timeline-service,0.5,post-storage-service,4.804
media-service,0.5,post-storage-service,4.631
post-storage-service,0.5,post-storage-service,6.039
social-graph-service,0.5,post-storage-service,4.611
text-service,0.5,post-storage-service,5.066
unique-id-service,0.5,post-storage-service,5.646
url-shorten-service,0.5,post-storage-service,5.570
user-mention-service,0.5,post-storage-service,4.693
user-service,0.5,post-storage-service,5.623
user-timeline-service,0.5,post-storage-service,5.873
compose-post-service,0.6,post-storage-service,5.753
home-timeline-service,0.6,post-storage-service,4.269
media-service,0.6,post-storage-service,5.015
post-storage-service,0.6,post-storage-service,6.929
social-graph-service,0.6,post-storage-service,6.854
text-service,0.6,post-storage-service,7.076
unique-id-service,0.6,post-storage-service,4.975
url-shorten-service,0.6,post-storage-service,9.364
user-mention-service,0.6,post-storage-service,6.415
user-service,0.6,post-storage-service,5.884
user-timeline-service,0.6,post-storage-service,4.125
compose-post-service,0.7,post-storage-service,4.714
home-timeline-service,0.7,post-storage-service,7.019
media-service,0.7,post-storage-service,4.525
post-storage-service,0.7,post-storage-service,4.025
social-graph-service,0.7,post-storage-service,5.896
text-service,0.7,post-storage-service,4.748
unique-id-service,0.7,post-storage-service,4.921
url-shorten-service,0.7,post-storage-service,5.264
user-mention-service,0.7,post-storage-service,4.706
user-service,0.7,post-storage-service,5.911
user-timeline-service,0.7,post-storage-service,5.503
compose-post-service,0.8,post-storage-service,4.114
home-timeline-service,0.8,post-storage-service,4.410
media-service,0.8,post-storage-service,5.300
post-storage-service,0.8,post-storage-service,4.236
social-graph-service,0.8,post-storage-service,4.205
text-service,0.8,post-storage-service,4.601
unique-id-service,0.8,post-storage-service,5.252
url-shorten-service,0.8,post-storage-service,5.570
user-mention-service,0.8,post-storage-service,4.582
user-service,0.8,post-storage-service,5.481
user-timeline-service,0.8,post-storage-service,5.891
compose-post-service,0.9,post-storage-service,4.835
home-timeline-service,0.9,post-storage-service,4.381
media-service,0.9,post-storage-service,5.473
post-storage-service,0.9,post-storage-service,5.507
social-graph-service,0.9,post-storage-service,6.331
text-service,0.9,post-storage-service,4.635
unique-id-service,0.9,post-storage-service,4.585
url-shorten-service,0.9,post-storage-service,5.468
user-mention-service,0.9,post-storage-service,7.221
user-service,0.9,post-storage-service,5.622
user-timeline-service,0.9,post-storage-service,5.512
compose-post-service,1.0,post-storage-service,4.268
home-timeline-service,1.0,post-storage-service,4.303
media-service,1.0,post-storage-service,4.465
post-storage-service,1.0,post-storage-service,6.103
social-graph-service,1.0,post-storage-service,4.346
text-service,1.0,post-storage-service,6.223
unique-id-service,1.0,post-storage-service,5.451
url-shorten-service,1.0,post-storage-service,4.746
user-mention-service,1.0,post-storage-service,6.327
user-service,1.0,post-storage-service,5.267
user-timeline-service,1.0,post-storage-service,6.761
compose-post-service,0.1,social-graph-service,920.769
home-timeline-service,0.1,social-graph-service,5.266
media-service,0.1,social-graph-service,5.825
post-storage-service,0.1,social-graph-service,5.288
social-graph-service,0.1,social-graph-service,5.659
text-service,0.1,social-graph-service,19951.950
unique-id-service,0.1,social-graph-service,5.130
url-shorten-service,0.1,social-graph-service,5.196
user-mention-service,0.1,social-graph-service,13674.235
user-service,0.1,social-graph-service,5.635
user-timeline-service,0.1,social-graph-service,8.516
compose-post-service,0.2,social-graph-service,58117.857
home-timeline-service,0.2,social-graph-service,5.639
media-service,0.2,social-graph-service,4.827
post-storage-service,0.2,social-graph-service,4.662
social-graph-service,0.2,social-graph-service,5.016
text-service,0.2,social-graph-service,4.777
unique-id-service,0.2,social-graph-service,4.832
url-shorten-service,0.2,social-graph-service,4.903
user-mention-service,0.2,social-graph-service,6.975
user-service,0.2,social-graph-service,5.740
user-timeline-service,0.2,social-graph-service,5.892
compose-post-service,0.3,social-graph-service,14610.573
home-timeline-service,0.3,social-graph-service,5.161
media-service,0.3,social-graph-service,4.226
post-storage-service,0.3,social-graph-service,4.889
social-graph-service,0.3,social-graph-service,4.790
text-service,0.3,social-graph-service,4.689
unique-id-service,0.3,social-graph-service,5.720
url-shorten-service,0.3,social-graph-service,6.108
user-mention-service,0.3,social-graph-service,7.163
user-service,0.3,social-graph-service,5.612
user-timeline-service,0.3,social-graph-service,5.017
compose-post-service,0.4,social-graph-service,4.219
home-timeline-service,0.4,social-graph-service,5.998
media-service,0.4,social-graph-service,5.637
post-storage-service,0.4,social-graph-service,5.532
social-graph-service,0.4,social-graph-service,4.945
text-service,0.4,social-graph-service,5.471
unique-id-service,0.4,social-graph-service,4.819
url-shorten-service,0.4,social-graph-service,5.585
user-mention-service,0.4,social-graph-service,5.724
user-service,0.4,social-graph-service,5.199
user-timeline-service,0.4,social-graph-service,7.074
compose-post-service,0.5,social-graph-service,4.856
home-timeline-service,0.5,social-graph-service,4.904
media-service,0.5,social-graph-service,4.316
post-storage-service,0.5,social-graph-service,5.051
social-graph-service,0.5,social-graph-service,4.900
text-service,0.5,social-graph-service,4.853
unique-id-service,0.5,social-graph-service,5.902
url-shorten-service,0.5,social-graph-service,5.284
user-mention-service,0.5,social-graph-service,5.353
user-service,0.5,social-graph-service,4.699
user-timeline-service,0.5,social-graph-service,5.586
compose-post-service,0.6,social-graph-service,6.571
home-timeline-service,0.6,social-graph-service,5.153
media-service,0.6,social-graph-service,5.435
post-storage-service,0.6,social-graph-service,4.492
social-graph-service,0.6,social-graph-service,4.720
text-service,0.6,social-graph-service,6.627
unique-id-service,0.6,social-graph-service,5.283
url-shorten-service,0.6,social-graph-service,4.330
user-mention-service,0.6,social-graph-service,6.076
user-service,0.6,social-graph-service,7.377
user-timeline-service,0.6,social-graph-service,5.447
compose-post-service,0.7,social-graph-service,5.196
home-timeline-service,0.7,social-graph-service,6.349
media-service,0.7,social-graph-service,5.046
post-storage-service,0.7,social-graph-service,4.527
social-graph-service,0.7,social-graph-service,5.228
text-service,0.7,social-graph-service,5.067
unique-id-service,0.7,social-graph-service,4.510
url-shorten-service,0.7,social-graph-service,6.406
user-mention-service,0.7,social-graph-service,4.843
user-service,0.7,social-graph-service,5.082
user-timeline-service,0.7,social-graph-service,4.781
compose-post-service,0.8,social-graph-service,5.025
home-timeline-service,0.8,social-graph-service,4.089
media-service,0.8,social-graph-service,5.204
post-storage-service,0.8,social-graph-service,4.886
social-graph-service,0.8,social-graph-service,5.357
text-service,0.8,social-graph-service,4.654
unique-id-service,0.8,social-graph-service,7.112
url-shorten-service,0.8,social-graph-service,6.539
user-mention-service,0.8,social-graph-service,6.860
user-service,0.8,social-graph-service,6.125
user-timeline-service,0.8,social-graph-service,5.631
compose-post-service,0.9,social-graph-service,5.619
home-timeline-service,0.9,social-graph-service,6.288
media-service,0.9,social-graph-service,5.484
post-storage-service,0.9,social-graph-service,4.570
social-graph-service,0.9,social-graph-service,6.018
text-service,0.9,social-graph-service,4.254
unique-id-service,0.9,social-graph-service,5.604
url-shorten-service,0.9,social-graph-service,5.010
user-mention-service,0.9,social-graph-service,4.866
user-service,0.9,social-graph-service,5.926
user-timeline-service,0.9,social-graph-service,5.507
compose-post-service,1.0,social-graph-service,4.405
home-timeline-service,1.0,social-graph-service,6.117
media-service,1.0,social-graph-service,5.077
post-storage-service,1.0,social-graph-service,6.959
social-graph-service,1.0,social-graph-service,4.891
